nct_id,section,signal_type,label,detail,source_sentence
NCT05983432,inclusion,ecog,ECOG 0–1,0-1,Has an Eastern Cooperative Oncology Group performance status (ECOG PS) 0 to 1
NCT05983432,inclusion,biomarker,EGFR positive,EGFR:positive,For subjects with NSCLC (EGFR mutation):
NCT05983432,inclusion,biomarker,EGFR positive,EGFR:positive,"Evidence of documented EGFR TKI-sensitizing deletion mutation in EGFR Exon 19 (ex19del) or leucin-arginine substitution point mutation in EGFR Exon 21 (ex21L858R), the serine-isoleucine mutation in EGFR Exon 20 (ex20S768I), the leucine-glutamine substitution mutation in Exon 21 (ex21L861Q), or the glycine substitution (with alanine, cysteine, or serine) mutation in Exon 18 (ex18G719X) at or after the time of disease diagnosis and prior to initiation of treatment."
NCT05983432,inclusion,biomarker,EGFR positive,EGFR:positive,"Evidence of documented EGFR TKI-sensitizing deletion mutation in EGFR Exon 19 (ex19del) or leucin-arginine substitution point mutation in EGFR Exon 21 (ex21L858R), the serine-isoleucine mutation in EGFR Exon 20 (ex20S768I), the leucine-glutamine substitution mutation in Exon 21 (ex21L861Q), or the glycine substitution (with alanine, cysteine, or serine) mutation in Exon 18 (ex18G719X) at or after the time of disease diagnosis and prior to initiation of treatment."
NCT05983432,inclusion,biomarker,EGFR positive,EGFR:positive,"Evidence of documented EGFR TKI-sensitizing deletion mutation in EGFR Exon 19 (ex19del) or leucin-arginine substitution point mutation in EGFR Exon 21 (ex21L858R), the serine-isoleucine mutation in EGFR Exon 20 (ex20S768I), the leucine-glutamine substitution mutation in Exon 21 (ex21L861Q), or the glycine substitution (with alanine, cysteine, or serine) mutation in Exon 18 (ex18G719X) at or after the time of disease diagnosis and prior to initiation of treatment."
NCT05983432,inclusion,biomarker,EGFR positive,EGFR:positive,"Evidence of documented EGFR TKI-sensitizing deletion mutation in EGFR Exon 19 (ex19del) or leucin-arginine substitution point mutation in EGFR Exon 21 (ex21L858R), the serine-isoleucine mutation in EGFR Exon 20 (ex20S768I), the leucine-glutamine substitution mutation in Exon 21 (ex21L861Q), or the glycine substitution (with alanine, cysteine, or serine) mutation in Exon 18 (ex18G719X) at or after the time of disease diagnosis and prior to initiation of treatment."
NCT05983432,inclusion,biomarker,HER2 mentioned,HER2:unspecified,"For Triple-Negative Breast Cancer (TNBC, HER2-/HR-):"
NCT05983432,inclusion,biomarker,EGFR negative,EGFR:negative,For NSCLC (EGFR wild type) with squamous histology
NCT05983432,inclusion,biomarker,EGFR mentioned,EGFR:unspecified,Must have documented negative test results for epidermal growth factor receptor (EGFR) and anaplastic lymphoma kinase (ALK). Must have no known genomic alterations in ROS proto-oncogene 1 (ROS1).
NCT05983432,inclusion,biomarker,ALK positive,ALK:positive,Must have documented negative test results for epidermal growth factor receptor (EGFR) and anaplastic lymphoma kinase (ALK). Must have no known genomic alterations in ROS proto-oncogene 1 (ROS1).
NCT05983432,inclusion,biomarker,ROS1 mentioned,ROS1:unspecified,Must have documented negative test results for epidermal growth factor receptor (EGFR) and anaplastic lymphoma kinase (ALK). Must have no known genomic alterations in ROS proto-oncogene 1 (ROS1).
NCT05983432,inclusion,biomarker,EGFR negative,EGFR:negative,For NSCLC (EGFR wild type) with adenocarcinoma histology
NCT05983432,inclusion,biomarker,EGFR mentioned,EGFR:unspecified,Must have documented negative test results for epidermal growth factor receptor (EGFR) and anaplastic lymphoma kinase (ALK). Must have no known genomic alterations in ROS proto-oncogene 1 (ROS1). Progressed or intolerant to one line of platinum-based chemotherapy with α-PD-1/L1 monoclonal antibody given either concurrently or sequentially.
NCT05983432,inclusion,biomarker,ALK positive,ALK:positive,Must have documented negative test results for epidermal growth factor receptor (EGFR) and anaplastic lymphoma kinase (ALK). Must have no known genomic alterations in ROS proto-oncogene 1 (ROS1). Progressed or intolerant to one line of platinum-based chemotherapy with α-PD-1/L1 monoclonal antibody given either concurrently or sequentially.
NCT05983432,inclusion,biomarker,ROS1 mentioned,ROS1:unspecified,Must have documented negative test results for epidermal growth factor receptor (EGFR) and anaplastic lymphoma kinase (ALK). Must have no known genomic alterations in ROS proto-oncogene 1 (ROS1). Progressed or intolerant to one line of platinum-based chemotherapy with α-PD-1/L1 monoclonal antibody given either concurrently or sequentially.
NCT05983432,exclusion,biomarker,EGFR mentioned,EGFR:unspecified,"Participants who have received prior therapy with any ADC targeting EGFR and/or HER3 or containing a topoisomerase 1 inhibitor payload (all dose expansion cohorts with exception of TNBC noted below). Note: For TNBC dose expansion cohort, participants with prior ADC therapy targeting HER3 and EGFR or a topoisomerase I inhibitor, such as sacituzumab govitecan may be enrolled with Sponsor consultation prior to enrollment"
NCT05983432,exclusion,biomarker,EGFR mentioned,EGFR:unspecified,"Participants who have received prior therapy with any ADC targeting EGFR and/or HER3 or containing a topoisomerase 1 inhibitor payload (all dose expansion cohorts with exception of TNBC noted below). Note: For TNBC dose expansion cohort, participants with prior ADC therapy targeting HER3 and EGFR or a topoisomerase I inhibitor, such as sacituzumab govitecan may be enrolled with Sponsor consultation prior to enrollment"
NCT05983432,exclusion,biomarker,EGFR mentioned,EGFR:unspecified,Previously documented EGFR Exon 20 insertion mutations as primary EGFR mutations
NCT05983432,exclusion,biomarker,EGFR mentioned,EGFR:unspecified,Previously documented EGFR Exon 20 insertion mutations as primary EGFR mutations
NCT05983432,exclusion,biomarker,HER2 mentioned,HER2:unspecified,"For Triple-Negative Breast Cancer (TNBC, HER2-/HR-):"
NCT05983432,exclusion,biomarker,EGFR negative,EGFR:negative,For NSCLC with EGFR WT squamous or adenocarcinoma histology: a) Participants received more than 1 prior line of systemic chemotherapy for locally advanced or metastatic disease
NCT05983432,exclusion,prior_therapy,=1 prior line,==1,For Ovarian Carcinoma a) Participants received more than 1 prior line of systemic chemotherapy. Re-treatment with platinum-based chemotherapy is considered one line of therapy. Prior hormonal therapy is permitted.
NCT05983432,exclusion,prior_therapy,=1 prior line,==1,For Endometrial Carcinoma a) Participants received more than 1 prior line of systemic chemotherapy. Re-treatment with platinum-based chemotherapy is considered one line of therapy. Prior hormonal therapy is permitted.
NCT05983432,exclusion,prior_therapy,=1 prior line,==1,"For Cervical Carcinoma a) if received more than 1 prior line of systemic chemotherapy. Re-treatment with platinum-based chemotherapy is considered one line of therapy. Notes: Re-treatment with platinum-based chemotherapy is considered one line of therapy. Note: A participant who does not meet this exclusion criterion may be allowed into the study pending the sponsor's approval, based on current accrual within this dose expansion cohort. Note: There is no limit on the number of prior lines of non-chemotherapy regimens. ADCs with cytotoxic payloads are considered a line of chemotherapy. For any expansion cohorts, if only limited number of patients can be enrolled with 1 prior line of chemotherapy, the Sponsor has the option to allow participants with more than 1 prior line of chemotherapy to be enrolled, upon Sponsor's approval."
NCT05985655,inclusion,ecog,ECOG 0–1,0-1,Eastern Cooperative Oncology Group (ECOG) performance status 0-1.
NCT05985655,inclusion,biomarker,HER2 negative,HER2:negative,"One of the following histologically or cytologically confirmed advanced solid tumors: head and neck squamous cell carcinoma (HNSCC), pancreatic adenocarcinoma, non-small cell lung cancer (NSCLC), breast carcinoma (hormone receptor-positive \[HR+\] and Human Epidermal Growth Receptor 2 negative \[HER2-\] that has progressed to a prior treatment with Cyclin-Dependent Kinase 4 (CDK4)/ Cyclin-Dependent Kinase 6 \[CDK6\] inhibitor), or platinum-resistant high-grade epithelial ovarian, primary peritoneal, or fallopian tube cancers (HGSOC), or triple negative breast cancer (TNBC)."
NCT05985954,inclusion,biomarker,EGFR negative,EGFR:negative,"Cohort A: KRAS, NRAS, EGFR ectodomain, BRAF V600E wild-type status"
NCT05985954,inclusion,biomarker,KRAS mentioned,KRAS:unspecified,"Cohort A: KRAS, NRAS, EGFR ectodomain, BRAF V600E wild-type status"
NCT05985954,inclusion,biomarker,BRAF negative,BRAF:negative,"Cohort A: KRAS, NRAS, EGFR ectodomain, BRAF V600E wild-type status"
NCT05985954,inclusion,biomarker,BRAF positive,BRAF:positive,BRAF expansion Cohort: BRAF V600E mutation must be present
NCT05985954,inclusion,biomarker,BRAF positive,BRAF:positive,BRAF expansion Cohort: BRAF V600E mutation must be present
NCT05985954,inclusion,biomarker,EGFR mentioned,EGFR:unspecified,"Cohort A: anti-EGFR therapy (cetuximab or panitumumab) setting for at least 16 weeks with either CR or PR as best response, prior to progression b. BRAF expansion Cohort: BRAF therapy (not including regorafenib) and anti-EGFR therapy (cetuximab or panitumumab)"
NCT05985954,inclusion,biomarker,EGFR mentioned,EGFR:unspecified,"Cohort A: anti-EGFR therapy (cetuximab or panitumumab) setting for at least 16 weeks with either CR or PR as best response, prior to progression b. BRAF expansion Cohort: BRAF therapy (not including regorafenib) and anti-EGFR therapy (cetuximab or panitumumab)"
NCT05985954,inclusion,biomarker,BRAF mentioned,BRAF:unspecified,"Cohort A: anti-EGFR therapy (cetuximab or panitumumab) setting for at least 16 weeks with either CR or PR as best response, prior to progression b. BRAF expansion Cohort: BRAF therapy (not including regorafenib) and anti-EGFR therapy (cetuximab or panitumumab)"
NCT05985954,inclusion,biomarker,BRAF mentioned,BRAF:unspecified,"Cohort A: anti-EGFR therapy (cetuximab or panitumumab) setting for at least 16 weeks with either CR or PR as best response, prior to progression b. BRAF expansion Cohort: BRAF therapy (not including regorafenib) and anti-EGFR therapy (cetuximab or panitumumab)"
NCT05985954,inclusion,ecog,ECOG 0–1,0-1,ECOG performance status ≤ 1.
NCT05985954,exclusion,biomarker,BRAF mentioned,BRAF:unspecified,History of a Grade 3 or 4 allergic reaction or intolerability attributed to encorafenib or other BRAF inhibitor (BRAF Expansion Cohort) <!-- -->
NCT05985954,exclusion,biomarker,BRAF mentioned,BRAF:unspecified,History of a Grade 3 or 4 allergic reaction or intolerability attributed to encorafenib or other BRAF inhibitor (BRAF Expansion Cohort) <!-- -->
NCT05989347,inclusion,biomarker,HER2 negative,HER2:negative,"Women \> 18 years of age with newly diagnosed, histologically confirmed, clinical stage I-III, HER2-negative - either ER+ or triple negative - invasive breast cancer as defined by ASCO CAP guidelines for whom neoadjuvant chemotherapy would be indicated. The following chemotherapy regimens are acceptable:"
NCT05989347,exclusion,biomarker,EGFR mentioned,EGFR:unspecified,Participants with eGFR \< 25.
NCT05989828,inclusion,biomarker,HER2 negative,HER2:negative,Histologically confirmed advanced or metastatic TNBC that have relapsed on or are refractory to 2 or more lines of standard-of-care therapy. TNBC is defined as estrogen receptor (ER) and progesterone receptor negative (\< 10% immunohistochemistry \[IHC\] staining) and HER2 negative (IHC 1+ or 0 AND/OR in situ hybridization negative based on:
NCT05989828,inclusion,biomarker,HER2 mentioned,HER2:unspecified,Single-probe average HER2 copy number \< 4.0 signals/cell
NCT05989828,inclusion,biomarker,HER2 mentioned,HER2:unspecified,Dual-probe HER2/CEP17 ratio \< 2.0 with an average HER2 copy number \< 4.0 signals/cell)
NCT05989828,inclusion,biomarker,HER2 mentioned,HER2:unspecified,Dual-probe HER2/CEP17 ratio \< 2.0 with an average HER2 copy number \< 4.0 signals/cell)
NCT05989828,inclusion,ecog,ECOG 0,0-0,Eastern Cooperative Oncology Group (ECOG) performance status of 0 or 1
NCT05996107,inclusion,biomarker,HER2 negative,HER2:negative,"ER and/or PR-positive (≥ 1% positivity as determined by local pathology laboratory), HER2-negative breast cancer with \> 3 lymph nodes involved on sentinel lymph node biopsy (SLNB) or axillary lymph node dissection (ALND) OR have between 1-3 lymph nodes involved AND have T3 disease OR have between 1-3 lymph nodes involved and grade 3 breast cancer."
NCT05996107,inclusion,biomarker,EGFR mentioned,EGFR:unspecified,Estimated glomerular filtration rate (eGFR) ≥ 30 mL/min/1.73m2 according to the Modification of Diet in Renal Disease (MDRD) formula
NCT05996107,inclusion,ecog,ECOG 0–1,0-1,ECOG Performance Status 0-1 (Karnofsky \> 60%).
NCT06004245,inclusion,ecog,ECOG 0,0-0,Eastern Cooperative Oncology Group (ECOG) performance status score of 0 or 1
NCT06004245,inclusion,biomarker,MSI mentioned,MSI:unspecified,"Have a microsatellite instability (MSI) and/or deficient mismatch repair (dMMR), histologically or cytologically documented advanced (unresectable and/or metastatic) solid tumor; For the combination with bevacizumab only: advanced, or metastatic colorectal adenocarcinoma (CRC) treated with at least 2 but no more than 3 prior lines of systemic therapy for the treatment of advanced CRC; For the combination with pembrolizumab only: Histologically confirmed locally advanced, or metastatic CRC with no prior systemic treatment for metastatic disease and not amenable to surgery"
NCT06004245,inclusion,prior_therapy,≤3 prior lines,<=3,"Have a microsatellite instability (MSI) and/or deficient mismatch repair (dMMR), histologically or cytologically documented advanced (unresectable and/or metastatic) solid tumor; For the combination with bevacizumab only: advanced, or metastatic colorectal adenocarcinoma (CRC) treated with at least 2 but no more than 3 prior lines of systemic therapy for the treatment of advanced CRC; For the combination with pembrolizumab only: Histologically confirmed locally advanced, or metastatic CRC with no prior systemic treatment for metastatic disease and not amenable to surgery"
NCT06008275,inclusion,ecog,ECOG 0–1,0-1,"Have not received more than 4 prior chemotherapy regimens for metastatic disease. Prior platinum and/or taxane therapy in the adjuvant or metastatic setting is permitted. Patients with more than 4 prior regimens may be allowed on study per physician discretion, if ECOG PS is 0-1."
NCT06008275,inclusion,ecog,ECOG 0–1,0-1,Have an Eastern Cooperative Oncology Group (ECOG) performance status of 0-1
NCT06008730,inclusion,ecog,ECOG 2,2-2,Eastern Cooperative Oncology Group Performance (ECOG) performance status =\< 2 (Karnofsky \>= 60%)
NCT06008730,exclusion,biomarker,EGFR mentioned,EGFR:unspecified,Patients whose tumors exhibit targetable alterations in EGFR or ALK
NCT06008730,exclusion,biomarker,ALK mentioned,ALK:unspecified,Patients whose tumors exhibit targetable alterations in EGFR or ALK
NCT06010329,inclusion,biomarker,EGFR positive,EGFR:positive,Confirmation that the tumor harbors an uncommon epidermal growth factor receptor (EGFR) mutation (tumor tissue biopsy)
NCT06010329,inclusion,ecog,ECOG 0,0-0,"Eastern Cooperative Oncology Group (ECOG) score of 0, 1, or 2"
NCT06010329,exclusion,biomarker,EGFR mentioned,EGFR:unspecified,"Participant ever used the epidermal growth factor receptor-tyrosine kinase inhibitor (EGFR TKI) for anti-tumor therapy prior to enrollment (Cohort 1), or second generation EGFR TKI (Cohort 2)"
NCT06010329,exclusion,biomarker,EGFR mentioned,EGFR:unspecified,"Participant ever used the epidermal growth factor receptor-tyrosine kinase inhibitor (EGFR TKI) for anti-tumor therapy prior to enrollment (Cohort 1), or second generation EGFR TKI (Cohort 2)"
NCT06010329,exclusion,biomarker,EGFR mentioned,EGFR:unspecified,Any systemic anti-tumor therapy such as chemotherapy and radiation therapy (including curative radiotherapy or spinal radiotherapy portion \>30%) used within 3 weeks prior to enrollment; immunotherapy within 4 weeks; any palliative radiotherapy for non-target lesions used to relieve symptoms and traditional Chinese medicines indicated for the tumor within 2 weeks prior to enrollment; Cohort 2: any EGFR TKIs within 5 half-lives.
NCT06014827,inclusion,ecog,ECOG 2,2-2,Eastern Cooperative Oncology Group (ECOG) =\< 2
NCT06014827,inclusion,biomarker,EGFR mentioned,EGFR:unspecified,"The tumor harbors 1 of the 2 common epidermal growth factor receptor (EGFR) mutations known to be associated with epidermal growth factor receptor tyrosine kinase inhibitors (EGFR-TKI) sensitivity (Ex19del or L858R), either alone or in combination with other epidermal growth factor receptor (EGFR) mutations, which may include T790M."
NCT06014827,inclusion,biomarker,EGFR mentioned,EGFR:unspecified,"The tumor harbors 1 of the 2 common epidermal growth factor receptor (EGFR) mutations known to be associated with epidermal growth factor receptor tyrosine kinase inhibitors (EGFR-TKI) sensitivity (Ex19del or L858R), either alone or in combination with other epidermal growth factor receptor (EGFR) mutations, which may include T790M."
NCT06014827,inclusion,biomarker,EGFR mentioned,EGFR:unspecified,"The tumor harbors 1 of the 2 common epidermal growth factor receptor (EGFR) mutations known to be associated with epidermal growth factor receptor tyrosine kinase inhibitors (EGFR-TKI) sensitivity (Ex19del or L858R), either alone or in combination with other epidermal growth factor receptor (EGFR) mutations, which may include T790M."
NCT06014827,inclusion,prior_therapy,Treatment-naive,naive0,No prior systemic therapy for advanced disease other than osimertinib
NCT06023576,inclusion,biomarker,HER2 mentioned,HER2:unspecified,"Treatment with therapy anthracycline-based chemo (with or without HER2-targeted therapy), with \>/= 2 cycles of anthracycline chemotherapy planned."
NCT06023576,exclusion,biomarker,EGFR mentioned,EGFR:unspecified,"eGFR \< 30 ml/min/1.73m2 (based upon Cockcroft-Gault, etc.)"
NCT06026410,inclusion,biomarker,KRAS mentioned,KRAS:unspecified,"Arm #1 (KO-2806 monotherapy): Patients who have progressed on, or are refractory to, standard of care (SOC) treatments with advanced solid tumors, specifically: HRAS-mutant and/or amplified tumors (any solid tumor type); HRAS overexpression (only for HNSCC tumors); KRAS and/or NRAS, and/or HRAS-mutant and/or amplified NSCLC or CRC; KRAS-mutant and/or amplified PDAC"
NCT06026410,inclusion,biomarker,KRAS positive,KRAS:positive,"Arm #1 (KO-2806 monotherapy): Patients who have progressed on, or are refractory to, standard of care (SOC) treatments with advanced solid tumors, specifically: HRAS-mutant and/or amplified tumors (any solid tumor type); HRAS overexpression (only for HNSCC tumors); KRAS and/or NRAS, and/or HRAS-mutant and/or amplified NSCLC or CRC; KRAS-mutant and/or amplified PDAC"
NCT06026410,inclusion,biomarker,KRAS mentioned,KRAS:unspecified,"Arm #3 (Combination): Patients who have received at least 1 prior systemic therapy including available approved SOC treatments for KRAS G12C-mutant locally advanced or metastatic NSCLC, CRC, or PDAC."
NCT06026410,inclusion,biomarker,KRAS mentioned,KRAS:unspecified,Arm #7 (Combination): Patients who have received at least 1 prior systemic therapy including available approved SOC treatments for KRAS G12C-mutant locally advanced or metastatic NSCLC
NCT06026657,inclusion,biomarker,HER2 negative,HER2:negative,"Patients must have histologically or cytologically confirmed, HER2 negative metastatic breast cancer that is historically GD2 expressing (e.g., triple negative breast cancer, metaplastic breast cancer, high grade 3 estrogen positive breast cancer at initial diagnosis) with available archival tissue. Well differentiated neuroendocrine tumor (NETs) are not eligible for this trial since GD2 expression is unknown. GD2 expression is not required for eligibility but a primary tumor paraffin block is required at enrollment for assessment of GD2 expression"
NCT06026657,inclusion,ecog,ECOG 0,0-0,Eastern Cooperative Oncology Group (ECOG) performance status 0 or 1
NCT06026657,exclusion,biomarker,PD-L1 mentioned,PD-L1:unspecified,Patients with a history of myocarditis are excluded due to the potential of myocarditis with anti-PD-L1 antibodies or other immunotherapies
NCT06028022,inclusion,ecog,ECOG 0,0-0,"Eastern Cooperative Oncology Group (ECOG) performance status (PS) 0, 1 or 2"
NCT06031688,inclusion,biomarker,MET positive,MET:positive,"Participants must have documentation of stage IV or recurrent NSCLC with a MET exon 14 skipping mutation determined by tissue-based or blood-based (circulating tumor DNA \[ctDNA\]) next generation sequencing (NGS) assay done within a laboratory with Clinical Laboratory Improvement Act (CLIA), International Organization for Standardization (ISO)/ International Electrotechnical Commission (IEC), College of American Pathologists (CAP), or similar certification. Documentation must either be:"
NCT06031688,inclusion,biomarker,MET positive,MET:positive,Submitted documentation in the LUNGMAP Rave Electronic Data Capture System of a MET exon 14 skipping mutation from a previously completed tissue or blood-based NGS test
NCT06031688,inclusion,biomarker,HER2 positive,HER2:positive,"Participants must not have other known actionable oncogenic alterations, such as (but not limited to) EGFR sensitizing mutations, EGFR T790M mutation, ALK gene fusion, ROS1 gene rearrangement, RET gene rearrangement, NTRK rearrangement, HER2 mutation, KRAS activating mutations, and BRAF V600E mutation"
NCT06031688,inclusion,biomarker,EGFR mentioned,EGFR:unspecified,"Participants must not have other known actionable oncogenic alterations, such as (but not limited to) EGFR sensitizing mutations, EGFR T790M mutation, ALK gene fusion, ROS1 gene rearrangement, RET gene rearrangement, NTRK rearrangement, HER2 mutation, KRAS activating mutations, and BRAF V600E mutation"
NCT06031688,inclusion,biomarker,EGFR positive,EGFR:positive,"Participants must not have other known actionable oncogenic alterations, such as (but not limited to) EGFR sensitizing mutations, EGFR T790M mutation, ALK gene fusion, ROS1 gene rearrangement, RET gene rearrangement, NTRK rearrangement, HER2 mutation, KRAS activating mutations, and BRAF V600E mutation"
NCT06031688,inclusion,biomarker,KRAS positive,KRAS:positive,"Participants must not have other known actionable oncogenic alterations, such as (but not limited to) EGFR sensitizing mutations, EGFR T790M mutation, ALK gene fusion, ROS1 gene rearrangement, RET gene rearrangement, NTRK rearrangement, HER2 mutation, KRAS activating mutations, and BRAF V600E mutation"
NCT06031688,inclusion,biomarker,ALK positive,ALK:positive,"Participants must not have other known actionable oncogenic alterations, such as (but not limited to) EGFR sensitizing mutations, EGFR T790M mutation, ALK gene fusion, ROS1 gene rearrangement, RET gene rearrangement, NTRK rearrangement, HER2 mutation, KRAS activating mutations, and BRAF V600E mutation"
NCT06031688,inclusion,biomarker,ROS1 positive,ROS1:positive,"Participants must not have other known actionable oncogenic alterations, such as (but not limited to) EGFR sensitizing mutations, EGFR T790M mutation, ALK gene fusion, ROS1 gene rearrangement, RET gene rearrangement, NTRK rearrangement, HER2 mutation, KRAS activating mutations, and BRAF V600E mutation"
NCT06031688,inclusion,biomarker,BRAF positive,BRAF:positive,"Participants must not have other known actionable oncogenic alterations, such as (but not limited to) EGFR sensitizing mutations, EGFR T790M mutation, ALK gene fusion, ROS1 gene rearrangement, RET gene rearrangement, NTRK rearrangement, HER2 mutation, KRAS activating mutations, and BRAF V600E mutation"
NCT06031688,inclusion,biomarker,NTRK positive,NTRK:positive,"Participants must not have other known actionable oncogenic alterations, such as (but not limited to) EGFR sensitizing mutations, EGFR T790M mutation, ALK gene fusion, ROS1 gene rearrangement, RET gene rearrangement, NTRK rearrangement, HER2 mutation, KRAS activating mutations, and BRAF V600E mutation"
NCT06031688,inclusion,biomarker,MET mentioned,MET:unspecified,"Participants must not have received treatment with prior MET inhibitor therapies (e.g., crizotinib, tivantinib, savolitinib, tepotinib, cabozantinib, and foretinib)."
NCT06039371,inclusion,ecog,ECOG 2,2-2,Eastern Cooperative Oncology Group (ECOG) performance status =\< 2
NCT06040541,inclusion,biomarker,KRAS positive,KRAS:positive,"Pathologically documented, locally advanced or metastatic solid tumor with a KRAS G12D-mutation"
NCT06040541,inclusion,ecog,ECOG 0,0-0,ECOG performance status 0 or 1
NCT06040541,exclusion,biomarker,KRAS mentioned,KRAS:unspecified,"Participant was previously treated with an investigational KRAS G12D inhibitor, pan- or multi-RAS inhibitor, or had prior therapy with any direct RAS-targeted therapy (eg, degraders and inhibitors) Other inclusion/exclusion criteria may apply."
NCT06042569,inclusion,biomarker,HER2 negative,HER2:negative,Histologically or cytologically confirmed breast cancer(s) that is human epidermal growth factor receptor 2 negative (HER2-negative) per the most recent 2018 American Society of Clinical Oncology College of American Pathologists (ASCO CAP) guidelines relapsed/ refractory disease
NCT06042569,inclusion,biomarker,HER2 negative,HER2:negative,"For patients with bilateral or multifocal/multicentric breast cancers, the following criteria must be met to enroll: (1) both cancer are HER2 negative, AND (2) the provider feels the patient will benefit from TC for at least one of the cancers"
NCT06043817,inclusion,biomarker,HER2 mentioned,HER2:unspecified,Part 1: Tumor tissue EGFR or HER2 exon 20 insertion mutations confirmed by qualified local laboratories. Parts 2 and 3: EGFR/HER2 exon 20 insertion mutations confirmed by qualified local laboratories
NCT06043817,inclusion,biomarker,HER2 mentioned,HER2:unspecified,Part 1: Tumor tissue EGFR or HER2 exon 20 insertion mutations confirmed by qualified local laboratories. Parts 2 and 3: EGFR/HER2 exon 20 insertion mutations confirmed by qualified local laboratories
NCT06043817,inclusion,biomarker,EGFR mentioned,EGFR:unspecified,Part 1: Tumor tissue EGFR or HER2 exon 20 insertion mutations confirmed by qualified local laboratories. Parts 2 and 3: EGFR/HER2 exon 20 insertion mutations confirmed by qualified local laboratories
NCT06043817,inclusion,biomarker,EGFR mentioned,EGFR:unspecified,Part 1: Tumor tissue EGFR or HER2 exon 20 insertion mutations confirmed by qualified local laboratories. Parts 2 and 3: EGFR/HER2 exon 20 insertion mutations confirmed by qualified local laboratories
NCT06043817,inclusion,ecog,ECOG 0,0-0,Has Eastern Cooperative Oncology Group (ECOG) performance status score of 0 or 1 Key
NCT06043817,exclusion,biomarker,EGFR mentioned,EGFR:unspecified,"Has a tumor that is known to harbor EGFR ex20ins p.H773\_V774insH variant, or any EGFR kinase domain activating mutation concurrent with either a T790M and/or C797S resistance mutations"
NCT06043817,exclusion,biomarker,EGFR positive,EGFR:positive,"Has a tumor that is known to harbor EGFR ex20ins p.H773\_V774insH variant, or any EGFR kinase domain activating mutation concurrent with either a T790M and/or C797S resistance mutations"
NCT06044025,inclusion,ecog,ECOG 0–1,0-1,Eastern Cooperative Oncology Group (ECOG) performance status 0 - 1.
NCT06046495,inclusion,biomarker,EGFR positive,EGFR:positive,Have a documented EGFR mutation by a local test in tissue or plasma;
NCT06047379,inclusion,ecog,ECOG 0–2,0-2,Patient with select solid tumors must have an Eastern Cooperative Oncology Group (ECOG) performance status of 0-2.
NCT06050707,inclusion,ecog,ECOG 0–2,0-2,Must have an Eastern Cooperative Oncology Group (ECOG) performance status of 0-2
NCT06051695,inclusion,ecog,ECOG 0–1,0-1,ECOG performance status of 0 to 1
NCT06055439,inclusion,ecog,ECOG 0–1,0-1,Eastern Cooperative Oncology Group (ECOG) ≤ 1.
NCT06055881,inclusion,ecog,ECOG 0–2,0-2,Eastern Cooperative Oncology Group (ECOG) Performance Status (PS) ≤ 2.
NCT06055881,exclusion,biomarker,HER2 negative,HER2:negative,"Patients with triple negative disease (negative for ER, PR, and HER2)."
NCT06058377,inclusion,biomarker,HER2 positive,HER2:positive,"STEP 1: REGISTRATION (SCREENING): Participants must have histologically confirmed estrogen receptor (ER) positive and/or progesterone receptor (PR) positive (hormone receptor positive) and HER2 negative breast cancer, as per American Society of Clinical Oncology (ASCO) College of American Pathologists (CAP) guidelines"
NCT06058377,inclusion,biomarker,HER2 positive,HER2:positive,NOTE: Participants with HER2 positive disease by ASCO CAP guidelines are ineligible. HER2 negative and HER2 low or equivocal cases as per ASCO CAP guidelines that do not receive HER2 targeted therapy are eligible
NCT06058377,inclusion,biomarker,HER2 negative,HER2:negative,NOTE: Participants with HER2 positive disease by ASCO CAP guidelines are ineligible. HER2 negative and HER2 low or equivocal cases as per ASCO CAP guidelines that do not receive HER2 targeted therapy are eligible
NCT06058377,inclusion,biomarker,HER2 negative,HER2:negative,NOTE: Participants with HER2 positive disease by ASCO CAP guidelines are ineligible. HER2 negative and HER2 low or equivocal cases as per ASCO CAP guidelines that do not receive HER2 targeted therapy are eligible
NCT06058377,inclusion,biomarker,HER2 mentioned,HER2:unspecified,NOTE: Participants with HER2 positive disease by ASCO CAP guidelines are ineligible. HER2 negative and HER2 low or equivocal cases as per ASCO CAP guidelines that do not receive HER2 targeted therapy are eligible
NCT06058377,inclusion,biomarker,HER2 positive,HER2:positive,"STEP 1: REGISTRATION (SCREENING): Participants with multifocal disease in the same breast or synchronous bilateral primary tumors are eligible, however, all tumors that are biopsied must be hormone receptor positive and HER2 negative per ASCO CAP guidelines and at least one of the tumors must be MammaPrint High-2. MammaPrint can be performed sequentially on biopsies as it is sufficient to have MammaPrint High 2 status on at least one of the lesions"
NCT06059118,inclusion,ecog,ECOG 0–2,0-2,Eastern Cooperative Oncology Group (ECOG) Performance status ≤2.
NCT06059118,exclusion,ecog,ECOG 3,3-3,ECOG Performance status ≥3
NCT06060613,inclusion,biomarker,PD-L1 mentioned,PD-L1:unspecified,Participants with unresectable or metastatic melanoma must have experienced documented radiographic disease progression after systemic therapy containing a programmed cell death protein 1 (PD-1)/programmed death ligand 1 (PD-L1) blocking antibody.
NCT06060613,inclusion,biomarker,PD-L1 mentioned,PD-L1:unspecified,Participants with melanoma must not exceed 2 prior lines of systemic therapy. Neoadjuvant/Adjuvant treatment will not be considered a prior line of systemic therapy unless the participant progressed during or within the 12 weeks after the last dose of the adjuvant PD-1/PD-L1 blocking antibody.
